Inst ID;L;mu;cvr;f;m;cs/cw;S;costs;LB 95% CI;UB 95% CI;avg short;avg waste
1;0;2;0,5;0%;3;0,1;2;3,098482;3,08E+00;3,12E+00;11,6%;0,4%
22;0;2;0,5;50%;3;0,1;2;2,419073;2,41E+00;2,43E+00;10,9%;0,1%
23;0;2;0,5;50%;3;0,2;3;3,674821;3,64E+00;3,70E+00;0,8%;1,7%
24;0;2;0,5;50%;3;0,5;3;4,144540;4,11E+00;4,18E+00;0,8%;1,7%
25;0;2;0,5;50%;3;1;3;4,927404;4,89E+00;4,97E+00;0,8%;1,7%
27;0;2;0,5;50%;3;5;3;11,190316;1,11E+01;1,13E+01;0,8%;1,7%
30;0;2;0,5;50%;4;0,2;3;0,873516;8,60E-01;8,87E-01;0,8%;0,3%
31;0;2;0,5;50%;4;0,5;3;1,343235;1,33E+00;1,36E+00;0,8%;0,3%
32;0;2;0,5;50%;4;1;3;2,126099;2,10E+00;2,15E+00;0,8%;0,3%
64;0;2;1;0%;3;0,1;2;10,041909;1,00E+01;1,01E+01;27,0%;3,1%
65;0;2;1;0%;3;0,2;2;15,448791;1,54E+01;1,55E+01;27,0%;3,1%
66;0;2;1;0%;3;0,5;3;31,268132;3,12E+01;3,13E+01;10,9%;10,3%
67;0;2;1;0%;3;1;3;42,130838;4,20E+01;4,22E+01;10,9%;10,3%
68;0;2;1;0%;3;2;4;62,109753;6,20E+01;6,22E+01;3,7%;19,7%
69;0;2;1;0%;3;5;4;84,419986;8,41E+01;8,47E+01;3,7%;19,7%
70;0;2;1;0%;3;10;5;102,017720;1,02E+02;1,02E+02;1,1%;28,8%
71;0;2;1;0%;4;0,1;2;7,129821;7,10E+00;7,15E+00;27,0%;1,2%
72;0;2;1;0%;4;0,2;2;12,536703;1,25E+01;1,26E+01;27,0%;1,2%
73;0;2;1;0%;4;0,5;3;21,922115;2,19E+01;2,20E+01;10,9%;5,8%
74;0;2;1;0%;4;1;3;32,784821;3,27E+01;3,29E+01;10,9%;5,8%
76;0;2;1;0%;4;5;5;65,392033;6,52E+01;6,55E+01;1,1%;21,6%
78;0;2;1;0%;5;0,1;2;6,081126;6,06E+00;6,10E+00;27,0%;0,5%
79;0;2;1;0%;5;0,2;3;10,785398;1,07E+01;1,08E+01;10,9%;3,5%
81;0;2;1;0%;5;1;4;27,808723;2,77E+01;2,79E+01;3,7%;9,6%
82;0;2;1;0%;5;2;4;35,245467;3,51E+01;3,54E+01;3,7%;9,6%
83;0;2;1;0%;5;5;5;50,697184;5,05E+01;5,08E+01;1,1%;16,7%
84;0;2;1;0%;5;10;5;61,658036;6,14E+01;6,20E+01;1,1%;16,7%
85;0;2;1;50%;3;0,1;2;8,371133;8,34E+00;8,40E+00;27,0%;2,0%
86;0;2;1;50%;3;0,2;2;13,779217;1,37E+01;1,38E+01;27,0%;2,0%
87;0;2;1;50%;3;0,5;3;23,070055;2,30E+01;2,31E+01;10,9%;6,4%
89;0;2;1;50%;3;2;4;44,380769;4,43E+01;4,45E+01;3,7%;13,3%
91;0;2;1;50%;3;10;5;75,164904;7,49E+01;7,55E+01;1,1%;21,2%
92;0;2;1;50%;4;0,1;2;6,194828;6,17E+00;6,22E+00;27,0%;0,5%
94;0;2;1;50%;4;0,5;3;15,328159;1,53E+01;1,54E+01;10,9%;2,4%
96;0;2;1;50%;4;2;4;28,039835;2,79E+01;2,82E+01;3,7%;6,4%
97;0;2;1;50%;4;5;5;37,910989;3,77E+01;3,81E+01;1,1%;12,0%
99;0;2;1;50%;5;0,1;3;3,839560;3,82E+00;3,86E+00;10,9%;0,9%
100;0;2;1;50%;5;0,2;3;6,011882;5,98E+00;6,04E+00;10,9%;0,9%
101;0;2;1;50%;5;0,5;4;9,639801;9,59E+00;9,69E+00;3,7%;3,0%
102;0;2;1;50%;5;1;4;13,369368;1,33E+01;1,34E+01;3,7%;3,0%
103;0;2;1;50%;5;2;5;18,242033;1,82E+01;1,83E+01;1,1%;6,5%
104;0;2;1;50%;5;5;5;24,874176;2,47E+01;2,50E+01;1,1%;6,5%
106;0;2;1;100%;3;0,1;2;6,913152;6,88E+00;6,94E+00;27,0%;1,0%
107;0;2;1;100%;3;0,2;3;9,757060;9,70E+00;9,81E+00;10,9%;2,9%
109;0;2;1;100%;3;1;4;20,795536;2,07E+01;2,09E+01;3,7%;6,5%
110;0;2;1;100%;3;2;4;28,260920;2,81E+01;2,84E+01;3,7%;6,5%
111;0;2;1;100%;3;5;5;37,031456;3,69E+01;3,72E+01;1,1%;11,6%
113;0;2;1;100%;4;0,1;3;3,333819;3,31E+00;3,36E+00;10,9%;0,6%
114;0;2;1;100%;4;0,2;4;5,012582;4,97E+00;5,05E+00;3,7%;1,8%
115;0;2;1;100%;4;0,5;4;7,252198;7,20E+00;7,30E+00;3,7%;1,8%
116;0;2;1;100%;4;1;5;10,393269;1,03E+01;1,05E+01;1,1%;4,0%
117;0;2;1;100%;4;2;5;12,598901;1,25E+01;1,27E+01;1,1%;4,0%
119;0;2;1;100%;4;10;6;21,267995;2,11E+01;2,14E+01;0,3%;7,3%
121;0;2;1;100%;5;0,2;4;2,355234;2,33E+00;2,38E+00;3,7%;0,4%
123;0;2;1;100%;5;1;5;4,575687;4,53E+00;4,62E+00;1,1%;1,2%
124;0;2;1;100%;5;2;6;6,404808;6,35E+00;6,46E+00;0,3%;2,6%
125;0;2;1;100%;5;5;6;8,066964;7,98E+00;8,15E+00;0,3%;2,6%
127;0;2;2;0%;3;0,1;1;16,815625;1,68E+01;1,69E+01;68,1%;4,8%
128;0;2;2;0%;3;0,2;1;30,413942;3,03E+01;3,05E+01;68,1%;4,8%
129;0;2;2;0%;3;0,5;2;61,570158;6,14E+01;6,17E+01;47,4%;11,9%
130;0;2;2;0%;3;1;3;99,605288;9,93E+01;9,99E+01;33,7%;19,7%
131;0;2;2;0%;3;2;4;152,995124;1,52E+02;1,54E+02;24,4%;27,0%
132;0;2;2;0%;3;5;7;242,575412;2,42E+02;2,43E+02;10,0%;44,3%
133;0;2;2;0%;3;10;9;322,647115;3,21E+02;3,24E+02;5,8%;52,4%
134;0;2;2;0%;4;0,1;1;14,730735;1,47E+01;1,48E+01;68,1%;1,7%
135;0;2;2;0%;4;0,2;2;25,949423;2,59E+01;2,60E+01;47,4%;6,3%
137;0;2;2;0%;4;1;4;82,948970;8,27E+01;8,32E+01;24,4%;18,5%
138;0;2;2;0%;4;2;5;124,820810;1,24E+02;1,25E+02;17,9%;24,6%
139;0;2;2;0%;4;5;8;197,014973;1,96E+02;1,98E+02;7,6%;39,7%
140;0;2;2;0%;4;10;10;258,860508;2,58E+02;2,60E+02;4,4%;47,2%
141;0;2;2;0%;5;0,1;2;13,124402;1,31E+01;1,32E+01;47,4%;3,4%
142;0;2;2;0%;5;0,2;2;22,591387;2,25E+01;2,27E+01;47,4%;3,4%
143;0;2;2;0%;5;0,5;3;44,781593;4,46E+01;4,49E+01;33,7%;7,8%
144;0;2;2;0%;5;1;4;71,195192;7,09E+01;7,15E+01;24,4%;13,0%
146;0;2;2;0%;5;5;8;165,687294;1,65E+02;1,66E+02;7,6%;32,8%
147;0;2;2;0%;5;10;11;217,335302;2,16E+02;2,18E+02;3,4%;43,7%
149;0;2;2;50%;3;0,2;1;28,816511;2,87E+01;2,89E+01;66,2%;3,5%
150;0;2;2;50%;3;0,5;2;56,487534;5,63E+01;5,67E+01;45,3%;9,4%
152;0;2;2;50%;3;2;4;142,177129;1,42E+02;1,43E+02;23,8%;23,8%
153;0;2;2;50%;3;5;7;231,057692;2,30E+02;2,32E+02;10,6%;41,3%
154;0;2;2;50%;3;10;9;311,305769;3,10E+02;3,13E+02;6,4%;49,7%
155;0;2;2;50%;4;0,1;2;13,885364;1,38E+01;1,39E+01;45,3%;4,3%
157;0;2;2;50%;4;0,5;3;45,603537;4,54E+01;4,58E+01;32,3%;9,0%
159;0;2;2;50%;4;2;5;113,095536;1,13E+02;1,14E+02;17,9%;20,3%
161;0;2;2;50%;4;10;10;240,965453;2,40E+02;2,42E+02;4,9%;43,0%
163;0;2;2;50%;5;0,2;3;19,841909;1,98E+01;1,99E+01;32,3%;4,9%
165;0;2;2;50%;5;1;5;61,204190;6,10E+01;6,15E+01;17,9%;13,5%
167;0;2;2;50%;5;5;9;147,008310;1,46E+02;1,48E+02;6,4%;30,9%
168;0;2;2;50%;5;10;11;193,828365;1,93E+02;1,95E+02;3,8%;38,1%
169;0;2;2;100%;3;0,1;1;16,808977;1,68E+01;1,69E+01;68,1%;4,8%
171;0;2;2;100%;3;0,5;3;56,440797;5,63E+01;5,66E+01;33,7%;14,7%
172;0;2;2;100%;3;1;4;87,138324;8,69E+01;8,74E+01;24,4%;20,3%
173;0;2;2;100%;3;2;5;128,697802;1,28E+02;1,29E+02;17,9%;25,9%
174;0;2;2;100%;3;5;7;201,731250;2,01E+02;2,03E+02;10,0%;36,1%
175;0;2;2;100%;3;10;9;268,080082;2,67E+02;2,69E+02;5,8%;44,8%
176;0;2;2;100%;4;0,1;2;13,860749;1,38E+01;1,39E+01;47,4%;4,0%
178;0;2;2;100%;4;0,5;4;42,983723;4,28E+01;4,31E+01;24,4%;11,0%
179;0;2;2;100%;4;1;5;65,181799;6,49E+01;6,54E+01;17,9%;15,2%
181;0;2;2;100%;4;5;9;147,948008;1,47E+02;1,49E+02;5,8%;32,4%
182;0;2;2;100%;4;10;11;195,504602;1,94E+02;1,97E+02;3,4%;39,8%
183;0;2;2;100%;5;0,1;2;11,277644;1,12E+01;1,13E+01;47,4%;1,7%
185;0;2;2;100%;5;0,5;5;33,421051;3,33E+01;3,36E+01;17,9%;8,7%
186;0;2;2;100%;5;1;6;50,121772;4,99E+01;5,03E+01;13,3%;12,0%
187;0;2;2;100%;5;2;7;72,975000;7,26E+01;7,34E+01;10,0%;15,5%
189;0;2;2;100%;5;10;12;148,817720;1,48E+02;1,50E+02;2,6%;33,2%
190;0;4;0,5;0%;3;0,1;4;5,511058;5,49E+00;5,54E+00;9,2%;0,5%
191;0;4;0,5;0%;3;0,2;4;9,203984;9,18E+00;9,23E+00;9,2%;0,5%
192;0;4;0,5;0%;3;0,5;5;19,045021;1,90E+01;1,91E+01;1,0%;4,1%
193;0;4;0,5;0%;3;1;5;20,957418;2,09E+01;2,10E+01;1,0%;4,1%
194;0;4;0,5;0%;3;2;5;24,782212;2,47E+01;2,49E+01;1,0%;4,1%
195;0;4;0,5;0%;3;5;5;36,256593;3,61E+01;3,64E+01;1,0%;4,1%
197;0;4;0,5;0%;4;0,1;4;4,192995;4,18E+00;4,21E+00;9,2%;0,1%
199;0;4;0,5;0%;4;0,5;5;11,316655;1,13E+01;1,14E+01;1,0%;2,3%
200;0;4;0,5;0%;4;1;5;13,229052;1,32E+01;1,33E+01;1,0%;2,3%
201;0;4;0,5;0%;4;2;5;17,053846;1,70E+01;1,71E+01;1,0%;2,3%
202;0;4;0,5;0%;4;5;5;28,528228;2,84E+01;2,87E+01;1,0%;2,3%
205;0;4;0,5;0%;5;0,2;5;6,326978;6,30E+00;6,36E+00;1,0%;1,4%
206;0;4;0,5;0%;5;0,5;5;7,474416;7,44E+00;7,51E+00;1,0%;1,4%
207;0;4;0,5;0%;5;1;5;9,386813;9,35E+00;9,43E+00;1,0%;1,4%
208;0;4;0,5;0%;5;2;5;13,211607;1,31E+01;1,33E+01;1,0%;1,4%
209;0;4;0,5;0%;5;5;5;24,685989;2,45E+01;2,48E+01;1,0%;1,4%
211;0;4;0,5;50%;3;0,1;5;1,062493;1,05E+00;1,08E+00;1,3%;0,1%
212;0;4;0,5;50%;3;0,2;5;1,598750;1,58E+00;1,61E+00;1,3%;0,1%
253;0;4;1;0%;3;0,1;4;14,259615;1,42E+01;1,43E+01;19,5%;2,0%
255;0;4;1;0%;3;0,5;5;40,305769;4,02E+01;4,04E+01;10,2%;5,2%
256;0;4;1;0%;3;1;5;60,769437;6,06E+01;6,09E+01;10,2%;5,2%
258;0;4;1;0%;3;5;7;113,173970;1,13E+02;1,13E+02;2,1%;15,4%
259;0;4;1;0%;3;10;8;137,259066;1,37E+02;1,38E+02;0,8%;20,8%
261;0;4;1;0%;4;0,2;4;18,019437;1,80E+01;1,81E+01;19,5%;0,7%
262;0;4;1;0%;4;0,5;5;30,356937;3,03E+01;3,04E+01;10,2%;2,7%
263;0;4;1;0%;4;1;6;44,103365;4,40E+01;4,42E+01;4,9%;6,1%
265;0;4;1;0%;4;5;8;86,786538;8,66E+01;8,70E+01;0,8%;15,1%
267;0;4;1;0%;5;0,1;4;8,766346;8,74E+00;8,79E+00;19,5%;0,3%
268;0;4;1;0%;5;0,2;5;13,510879;1,35E+01;1,36E+01;10,2%;1,5%
269;0;4;1;0%;5;0,5;6;25,313496;2,53E+01;2,54E+01;4,9%;3,9%
270;0;4;1;0%;5;1;6;35,035440;3,49E+01;3,51E+01;4,9%;3,9%
271;0;4;1;0%;5;2;7;48,227679;4,81E+01;4,84E+01;2,1%;7,4%
272;0;4;1;0%;5;5;8;67,451511;6,73E+01;6,76E+01;0,8%;11,4%
273;0;4;1;0%;5;10;8;83,900000;8,35E+01;8,43E+01;0,8%;11,4%
274;0;4;1;50%;3;0,1;4;9,666827;9,63E+00;9,70E+00;19,5%;0,6%
275;0;4;1;50%;3;0,2;5;14,349327;1,43E+01;1,44E+01;10,2%;1,7%
277;0;4;1;50%;3;1;6;34,260302;3,41E+01;3,44E+01;4,9%;3,8%
278;0;4;1;50%;3;2;7;45,388874;4,52E+01;4,56E+01;2,1%;6,8%
280;0;4;1;50%;3;10;8;80,225206;7,98E+01;8,07E+01;0,8%;10,7%
282;0;4;1;50%;4;0,2;6;7,628777;7,58E+00;7,68E+00;4,9%;1,0%
283;0;4;1;50%;4;0,5;7;12,980563;1,29E+01;1,31E+01;2,1%;2,2%
284;0;4;1;50%;4;1;7;17,165453;1,71E+01;1,73E+01;2,1%;2,2%
287;0;4;1;50%;4;10;9;40,157830;3,99E+01;4,04E+01;0,3%;6,7%
288;0;4;1;50%;5;0,1;6;2,808860;2,79E+00;2,83E+00;4,9%;0,2%
291;0;4;1;50%;5;1;8;8,894505;8,83E+00;8,96E+00;0,8%;1,4%
292;0;4;1;50%;5;2;8;12,184341;1,21E+01;1,23E+01;0,8%;1,4%
293;0;4;1;50%;5;5;9;16,620330;1,65E+01;1,68E+01;0,3%;2,6%
297;0;4;1;100%;3;0,5;7;9,504636;9,43E+00;9,58E+00;2,1%;1,3%
298;0;4;1;100%;3;1;7;13,712294;1,36E+01;1,38E+01;2,1%;1,3%
299;0;4;1;100%;3;2;8;17,098901;1,70E+01;1,72E+01;0,8%;2,6%
301;0;4;1;100%;3;10;9;30,234478;3,00E+01;3,05E+01;0,3%;4,4%
305;0;4;1;100%;4;1;9;3,649245;3,60E+00;3,70E+00;0,3%;0,6%
306;0;4;1;100%;4;2;9;4,823146;4,76E+00;4,89E+00;0,3%;0,6%
316;0;4;2;0%;3;0,1;2;27,692658;2,76E+01;2,77E+01;62,2%;1,8%
317;0;4;2;0%;3;0,2;3;47,534176;4,74E+01;4,76E+01;48,6%;4,1%
318;0;4;2;0%;3;0,5;5;91,591827;9,14E+01;9,18E+01;29,1%;10,6%
319;0;4;2;0%;3;1;6;141,390865;1,41E+02;1,42E+02;22,3%;14,4%
320;0;4;2;0%;3;2;8;203,598832;2,03E+02;2,04E+02;13,0%;22,3%
322;0;4;2;0%;3;10;13;379,721360;3,78E+02;3,81E+02;3,2%;39,5%
323;0;4;2;0%;4;0,1;3;22,735838;2,27E+01;2,28E+01;48,6%;1,6%
324;0;4;2;0%;4;0,2;4;38,697857;3,86E+01;3,88E+01;37,7%;3,3%
325;0;4;2;0%;4;0,5;6;73,481181;7,33E+01;7,37E+01;22,3%;8,5%
326;0;4;2;0%;4;1;7;111,954670;1,12E+02;1,12E+02;17,1%;11,6%
327;0;4;2;0%;4;2;9;159,759341;1,59E+02;1,60E+02;9,9%;18,3%
328;0;4;2;0%;4;5;12;233,735508;2,33E+02;2,35E+02;4,2%;28,0%
330;0;4;2;0%;5;0,1;4;19,218606;1,92E+01;1,93E+01;37,7%;1,6%
332;0;4;2;0%;5;0,5;6;61,716140;6,15E+01;6,19E+01;22,3%;5,2%
333;0;4;2;0%;5;1;8;92,278640;9,20E+01;9,25E+01;13,0%;10,4%
334;0;4;2;0%;5;2;10;131,261332;1,31E+02;1,32E+02;7,5%;16,2%
337;0;4;2;50%;3;0,1;3;23,932555;2,39E+01;2,40E+01;46,7%;2,4%
338;0;4;2;50%;3;0,2;4;41,055755;4,09E+01;4,12E+01;36,0%;4,6%
339;0;4;2;50%;3;0,5;5;78,421016;7,82E+01;7,86E+01;27,7%;7,4%
340;0;4;2;50%;3;1;7;121,205495;1,21E+02;1,22E+02;16,6%;14,1%
341;0;4;2;50%;3;2;9;178,162019;1,78E+02;1,79E+02;10,1%;21,4%
342;0;4;2;50%;3;5;11;271,389148;2,70E+02;2,72E+02;6,2%;28,3%
343;0;4;2;50%;3;10;14;351,760646;3,50E+02;3,53E+02;3,0%;37,5%
344;0;4;2;50%;4;0,1;4;18,518159;1,85E+01;1,86E+01;36,0%;1,6%
345;0;4;2;50%;4;0,2;5;31,083324;3,10E+01;3,12E+01;27,7%;3,0%
346;0;4;2;50%;4;0,5;6;58,856113;5,87E+01;5,91E+01;21,5%;4,9%
347;0;4;2;50%;4;1;8;88,957692;8,86E+01;8,93E+01;12,9%;9,7%
348;0;4;2;50%;4;2;10;129,555907;1,29E+02;1,30E+02;7,9%;15,3%
349;0;4;2;50%;4;5;13;196,896223;1,96E+02;1,98E+02;3,8%;23,9%
350;0;4;2;50%;4;10;15;255,287912;2,54E+02;2,57E+02;2,3%;29,3%
351;0;4;2;50%;5;0,1;5;14,556566;1,45E+01;1,46E+01;27,7%;1,2%
353;0;4;2;50%;5;0,5;8;44,785474;4,46E+01;4,50E+01;12,9%;5,2%
354;0;4;2;50%;5;1;9;67,746909;6,75E+01;6,80E+01;10,1%;7,1%
357;0;4;2;50%;5;10;16;193,821841;1,93E+02;1,95E+02;1,8%;23,5%
358;0;4;2;100%;3;0,1;3;24,003056;2,39E+01;2,41E+01;48,6%;2,2%
359;0;4;2;100%;3;0,2;5;39,230385;3,91E+01;3,94E+01;29,1%;5,3%
360;0;4;2;100%;3;0,5;6;69,538977;6,93E+01;6,98E+01;22,3%;7,4%
361;0;4;2;100%;3;1;8;101,297321;1,01E+02;1,02E+02;13,0%;12,4%
362;0;4;2;100%;3;2;10;141,372253;1,41E+02;1,42E+02;7,5%;18,1%
363;0;4;2;100%;3;5;12;205,522321;2,05E+02;2,06E+02;4,3%;23,9%
364;0;4;2;100%;3;10;15;259,787981;2,59E+02;2,61E+02;1,8%;32,4%
365;0;4;2;100%;4;0,1;5;16,368970;1,63E+01;1,64E+01;29,1%;1,6%
366;0;4;2;100%;4;0,2;6;25,974382;2,59E+01;2,61E+01;22,3%;2,6%
369;0;4;2;100%;4;2;11;89,583929;8,92E+01;9,00E+01;5,7%;10,5%
370;0;4;2;100%;4;5;14;128,908242;1,28E+02;1,30E+02;2,4%;17,2%
372;0;4;2;100%;5;0,1;7;11,158242;1,11E+01;1,12E+01;17,1%;1,3%
373;0;4;2;100%;5;0,2;8;17,220055;1,71E+01;1,73E+01;13,0%;1,9%
374;0;4;2;100%;5;0,5;10;29,233413;2,91E+01;2,94E+01;7,5%;3,7%
377;0;4;2;100%;5;5;15;84,306113;8,38E+01;8,49E+01;1,8%;11,0%
379;0;6;0,5;0%;3;0,1;6;7,224533;7,20E+00;7,25E+00;7,8%;0,5%
380;0;6;0,5;0%;3;0,2;6;11,896456;1,19E+01;1,19E+01;7,8%;0,5%
382;0;6;0,5;0%;3;1;7;26,108791;2,60E+01;2,62E+01;1,7%;2,7%
386;0;6;0,5;0%;4;0,1;6;5,431745;5,41E+00;5,45E+00;7,8%;0,1%
387;0;6;0,5;0%;4;0,2;6;10,103668;1,01E+01;1,01E+01;7,8%;0,1%
389;0;6;0,5;0%;4;1;7;18,331456;1,83E+01;1,84E+01;1,7%;1,4%
390;0;6;0,5;0%;4;2;7;28,337912;2,82E+01;2,84E+01;1,7%;1,4%
394;0;6;0,5;0%;5;0,2;7;6,649505;6,62E+00;6,68E+00;1,7%;0,8%
444;0;6;1;0%;3;0,5;7;48,573043;4,85E+01;4,87E+01;9,5%;3,6%
447;0;6;1;0%;3;5;10;135,531662;1,35E+02;1,36E+02;1,3%;14,1%
448;0;6;1;0%;3;10;11;165,028022;1,65E+02;1,65E+02;0,6%;18,0%
449;0;6;1;0%;4;0,1;6;12,548427;1,25E+01;1,26E+01;16,1%;0,6%
450;0;6;1;0%;4;0,2;7;20,984670;2,09E+01;2,10E+01;9,5%;1,7%
452;0;6;1;0%;4;1;8;53,547596;5,34E+01;5,37E+01;5,2%;3,8%
453;0;6;1;0%;4;2;9;72,682967;7,25E+01;7,29E+01;2,7%;6,5%
454;0;6;1;0%;4;5;10;101,554052;1,01E+02;1,02E+02;1,3%;9,7%
455;0;6;1;0%;4;10;11;122,655838;1,22E+02;1,23E+02;0,6%;12,9%
456;0;6;1;0%;5;0,1;7;10,639485;1,06E+01;1,07E+01;9,5%;0,9%
457;0;6;1;0%;5;0,2;7;16,333915;1,63E+01;1,64E+01;9,5%;0,9%
459;0;6;1;0%;5;1;9;42,899863;4,28E+01;4,30E+01;2,7%;4,4%
460;0;6;1;0%;5;2;9;58,945604;5,88E+01;5,91E+01;2,7%;4,4%
461;0;6;1;0%;5;5;11;81,512019;8,13E+01;8,17E+01;0,6%;9,8%
462;0;6;1;0%;5;10;11;98,549451;9,81E+01;9,90E+01;0,6%;9,8%
463;0;6;1;50%;3;0,1;7;8,916367;8,87E+00;8,96E+00;9,5%;0,6%
464;0;6;1;50%;3;0,2;8;13,940261;1,39E+01;1,40E+01;5,2%;1,3%
466;0;6;1;50%;3;1;9;31,382761;3,12E+01;3,15E+01;2,7%;2,6%
467;0;6;1;50%;3;2;10;42,156731;4,20E+01;4,23E+01;1,3%;4,4%
468;0;6;1;50%;3;5;11;59,301717;5,90E+01;5,96E+01;0,6%;6,6%
469;0;6;1;50%;3;10;12;75,518681;7,52E+01;7,58E+01;0,2%;9,3%
470;0;6;1;50%;4;0,1;8;4,194032;4,17E+00;4,22E+00;5,2%;0,2%
472;0;6;1;50%;4;0,5;10;9,601923;9,53E+00;9,67E+00;1,3%;1,0%
473;0;6;1;50%;4;1;10;13,403984;1,33E+01;1,35E+01;1,3%;1,0%
474;0;6;1;50%;4;2;11;17,634821;1,75E+01;1,78E+01;0,6%;1,8%
475;0;6;1;50%;4;5;12;25,339080;2,52E+01;2,55E+01;0,2%;3,0%
476;0;6;1;50%;4;10;12;32,311264;3,20E+01;3,26E+01;0,2%;3,0%
477;0;6;1;50%;5;0,1;10;1,773530;1,75E+00;1,80E+00;1,3%;0,2%
478;0;6;1;50%;5;0,2;10;2,533942;2,51E+00;2,56E+00;1,3%;0,2%
479;0;6;1;50%;5;0,5;11;3,958139;3,91E+00;4,00E+00;0,6%;0,4%
480;0;6;1;50%;5;1;11;5,642857;5,58E+00;5,70E+00;0,6%;0,4%
485;0;6;1;100%;3;0,2;10;3,603585;3,56E+00;3,65E+00;1,3%;0,3%
486;0;6;1;100%;3;0,5;11;5,852335;5,79E+00;5,91E+00;0,6%;0,7%
487;0;6;1;100%;3;1;11;7,563324;7,48E+00;7,64E+00;0,6%;0,7%
489;0;6;1;100%;3;5;12;14,695948;1,45E+01;1,49E+01;0,2%;1,3%
505;0;6;2;0%;3;0,1;4;33,663702;3,36E+01;3,37E+01;47,4%;1,6%
506;0;6;2;0%;3;0,2;5;57,805879;5,77E+01;5,79E+01;38,5%;3,1%
507;0;6;2;0%;3;0,5;7;109,856044;1,10E+02;1,10E+02;25,0%;7,2%
509;0;6;2;0%;3;2;11;240,646566;2,40E+02;2,41E+02;10,0%;18,3%
510;0;6;2;0%;3;5;15;353,763599;3,53E+02;3,55E+02;3,8%;29,4%
512;0;6;2;0%;4;0,1;5;27,504451;2,74E+01;2,76E+01;38,5%;1,2%
513;0;6;2;0%;4;0,2;6;46,701745;4,66E+01;4,68E+01;31,1%;2,2%
515;0;6;2;0%;4;1;10;131,828228;1,31E+02;1,32E+02;12,6%;9,7%
517;0;6;2;0%;4;5;16;273,760027;2,73E+02;2,75E+02;3,0%;24,1%
518;0;6;2;0%;4;10;18;342,381662;3,41E+02;3,44E+02;1,8%;28,6%
520;0;6;2;0%;5;0,2;7;38,874643;3,88E+01;3,90E+01;25,0%;1,9%
522;0;6;2;0%;5;1;11;108,346566;1,08E+02;1,09E+02;10,0%;8,2%
523;0;6;2;0%;5;2;13;153,625824;1,53E+02;1,54E+02;6,2%;12,4%
524;0;6;2;0%;5;5;17;223,473695;2,23E+02;2,24E+02;2,3%;20,9%
525;0;6;2;0%;5;10;19;278,331319;2,77E+02;2,80E+02;1,4%;24,9%
526;0;6;2;50%;3;0,1;5;29,561463;2,95E+01;2,96E+01;38,5%;1,7%
527;0;6;2;50%;3;0,2;6;49,452679;4,93E+01;4,96E+01;31,1%;2,9%
528;0;6;2;50%;3;0,5;8;90,820330;9,06E+01;9,11E+01;19,9%;6,1%
532;0;6;2;50%;3;10;18;355,587363;3,54E+02;3,57E+02;1,8%;29,8%
533;0;6;2;50%;4;0,1;7;21,412878;2,13E+01;2,15E+01;24,9%;1,4%
534;0;6;2;50%;4;0,2;8;34,864574;3,47E+01;3,50E+01;19,9%;2,2%
536;0;6;2;50%;4;1;12;92,572390;9,22E+01;9,29E+01;7,8%;7,6%
537;0;6;2;50%;4;2;14;130,350412;1,30E+02;1,31E+02;4,8%;11,3%
538;0;6;2;50%;4;5;17;190,530014;1,90E+02;1,91E+02;2,3%;17,3%
539;0;6;2;50%;4;10;19;241,774382;2,41E+02;2,43E+02;1,4%;21,3%
541;0;6;2;50%;5;0,2;10;25,324725;2,52E+01;2,54E+01;12,6%;1,9%
543;0;6;2;50%;5;1;13;65,432761;6,51E+01;6,57E+01;6,1%;4,8%
545;0;6;2;50%;5;5;18;134,668132;1,34E+02;1,35E+02;1,8%;12,2%
546;0;6;2;50%;5;10;20;172,009821;1,71E+02;1,73E+02;1,0%;15,6%
547;0;6;2;100%;3;0,1;7;23,737713;2,36E+01;2,38E+01;25,0%;1,9%
548;0;6;2;100%;3;0,2;8;37,642514;3,75E+01;3,78E+01;20,0%;2,8%
549;0;6;2;100%;3;0,5;10;65,967102;6,57E+01;6,62E+01;12,6%;5,1%
550;0;6;2;100%;3;1;12;96,299931;9,59E+01;9,67E+01;7,9%;8,2%
551;0;6;2;100%;3;2;14;134,747253;1,34E+02;1,35E+02;4,9%;11,8%
552;0;6;2;100%;3;5;17;197,713118;1,97E+02;1,99E+02;2,3%;18,0%
553;0;6;2;100%;3;10;19;252,607967;2,51E+02;2,54E+02;1,4%;22,3%
554;0;6;2;100%;4;0,1;9;13,843413;1,38E+01;1,39E+01;15,9%;0,8%
555;0;6;2;100%;4;0,2;10;21,766442;2,16E+01;2,19E+01;12,6%;1,2%
556;0;6;2;100%;4;0,5;12;37,276168;3,71E+01;3,75E+01;7,9%;2,4%
557;0;6;2;100%;4;1;14;53,547871;5,33E+01;5,38E+01;4,9%;4,1%
558;0;6;2;100%;4;2;16;74,769231;7,43E+01;7,52E+01;3,0%;6,3%
559;0;6;2;100%;4;5;19;110,544368;1,10E+02;1,11E+02;1,4%;10,4%
560;0;6;2;100%;4;10;21;142,859066;1,42E+02;1,44E+02;0,8%;13,6%
562;0;6;2;100%;5;0,2;13;12,388049;1,23E+01;1,25E+01;6,2%;0,9%
563;0;6;2;100%;5;0,5;15;20,962878;2,08E+01;2,11E+01;3,8%;1,6%
